product_id,product_name,brand_type,retail_category,raw_product_category,ingredient_declaration_simulated,pack_weight_g,units_sold,unit_purchased,sales_weight_kg,drained_weight_g_if_applicable,protein_total_g_per_100g,protein_plant_g_per_100g,protein_animal_g_per_100g,protein_split_known,main_ingredient_origin_hint,label_claims_notes
P024,Cottage cheese,Branded,Fresh,Cheese,cottage cheese,300,7724,7724,2317.2,,11.0,0.0,11.0,Yes,Animal,protein split available for Level A
P025,Creme fraiche epaisse,Own brand,Fresh,Cream,creme fraiche epaisse,200,6374,6374,1274.8,,2.5,0.0,2.5,Yes,Animal,protein split available for Level A
P026,Beurre doux,Branded,Fresh,Animal fats,matiere grasse laitiere,250,5352,5352,1338.0,,0.7,0.0,0.7,Yes,Animal,protein split available for Level A
P027,Oeufs plein air x6,Own brand,Fresh,Eggs,oeufs,360,3347,3347,1204.92,,13.0,0.0,13.0,Yes,Animal,protein split available for Level A
P028,Blanc de poulet,Own brand,Fresh,Poultry,volaille; sel,350,4327,4327,1514.45,,23.0,0.0,23.0,Yes,Animal,protein split available for Level A
P029,Dinde rotie tranchee,Branded,Fresh,Poultry,volaille; sel,160,6314,6314,1010.24,,22.0,0.0,22.0,Yes,Animal,protein split available for Level A
P030,Steak hache boeuf 5 pourcent,Own brand,Fresh,Red meat,viande bovine ou porcine; sel,250,2474,2474,618.5,,20.0,0.0,20.0,Yes,Animal,protein split available for Level A
P031,Cote agneau,Branded,Fresh,Red meat,viande bovine ou porcine; sel,300,2319,2319,695.7,,19.0,0.0,19.0,Yes,Animal,protein split available for Level A
P032,Jambon cuit superieur,Own brand,Fresh,Processed meat,jambon cuit superieur,180,7024,7024,1264.32,,20.0,0.0,20.0,Yes,Animal,protein split available for Level A
P033,Saucisson sec pur porc,Branded,Grocery/Ambient,Processed meat,saucisson sec pur porc,250,2384,2384,596.0,,26.0,0.0,26.0,Yes,Animal,protein split available for Level A
P034,Filet de saumon,Own brand,Fresh,Fish and shellfish,filet de saumon,280,6681,6681,1870.68,,20.0,0.0,20.0,Yes,Animal,protein split available for Level A
P035,Sardines a huile egouttees,Branded,Grocery/Ambient,Fish and shellfish,sardines a huile egouttees,100,6435,6435,643.5,100,24.0,0.0,24.0,Yes,Animal,protein split available for Level A
P036,Crevettes decortiquees,Own brand,Frozen,Fish and shellfish,crevettes decortiquees,300,5133,5133,1539.9,,18.0,0.0,18.0,Yes,Animal,protein split available for Level A
P037,Moules cuites decoquillees,Branded,Fresh,Fish and shellfish,moules cuites decoquillees,250,1511,1511,377.75,,12.0,0.0,12.0,Yes,Animal,protein split available for Level A
P038,Cabillaud pane,Branded,Frozen,Fish and shellfish,cabillaud pane,300,8327,8327,2498.1,,13.0,2.0,11.0,Yes,Animal,protein split available for Level A
P039,Riz basmati,Own brand,Grocery/Ambient,Refined grains,cereale raffinee,1000,2845,2845,2845.0,,7.0,7.0,0.0,Yes,Plant,protein split available for Level A
P040,Pates spaghetti semoule ble,Branded,Grocery/Ambient,Refined grains,cereale raffinee,500,7001,7001,3500.5,,12.0,12.0,0.0,Yes,Plant,protein split available for Level A
P041,Pain complet tranches,Own brand,Grocery/Ambient,Whole grains,cereale complete,500,2091,2091,1045.5,,9.0,9.0,0.0,Yes,Plant,whole grain / cereal complete; protein split available for Level A
P042,Flocons avoine complets,Branded,Grocery/Ambient,Whole grains,cereale complete,500,5603,5603,2801.5,,13.5,13.5,0.0,Yes,Plant,whole grain / cereal complete; protein split available for Level A
P043,Tortillas mais,Branded,Grocery/Ambient,Refined grains,cereale raffinee,320,6725,6725,2152.0,,7.0,7.0,0.0,Yes,Plant,protein split available for Level A
P044,Couscous complet,Own brand,Grocery/Ambient,Whole grains,cereale complete,500,3950,3950,1975.0,,12.5,12.5,0.0,Yes,Plant,whole grain / cereal complete; protein split available for Level A
P045,Sarrasin decortique,Branded,Grocery/Ambient,Whole grains,cereale complete,400,1939,1939,775.6,,13.0,13.0,0.0,Yes,Plant,whole grain / cereal complete; protein split available for Level A
P046,Muesli avoine fruits graines,Own brand,Grocery/Ambient,Whole grains,cereale complete,750,1550,1550,1162.5,,10.0,10.0,0.0,Yes,Plant,whole grain / cereal complete; protein split available for Level A
P047,Pommes de terre vapeur,Own brand,Fresh,Potatoes,pommes de terre vapeur,1500,4533,4533,6799.5,,2.0,2.0,0.0,Yes,Plant,protein split available for Level A
P048,Patates douces,Branded,Fresh,Sweet potatoes,patates douces,1000,5541,5541,5541.0,,1.6,1.6,0.0,Yes,Plant,protein split available for Level A
P049,Manioc surgele,Branded,Frozen,Cassava,manioc surgele,600,2107,2107,1264.2,,1.4,1.4,0.0,Yes,Plant,protein split available for Level A
P050,Frites au four,Own brand,Frozen,Potato products,frites au four,1000,4614,4614,4614.0,,3.0,3.0,0.0,Yes,Plant,protein split available for Level A
P051,Carottes fraiches,Own brand,Fresh,Fresh vegetables,carottes fraiches,1000,2454,2454,2454.0,,0.9,0.9,0.0,Yes,Plant,protein split available for Level A
P052,Epinards frais,Branded,Fresh,Fresh vegetables,epinards frais,300,7027,7027,2108.1,,2.9,2.9,0.0,Yes,Plant,protein split available for Level A
P053,Brocoli surgele,Own brand,Frozen,Frozen vegetables,brocoli surgele,600,5354,5354,3212.4,,2.8,2.8,0.0,Yes,Plant,protein split available for Level A
P054,Ratatouille legumes,Branded,Grocery/Ambient,Prepared vegetables,ratatouille legumes,650,8228,8228,5348.2,,1.5,1.5,0.0,Yes,Plant,protein split available for Level A
P055,Champignons bruns,Branded,Fresh,Fresh vegetables,champignons bruns,250,6777,6777,1694.25,,3.1,3.1,0.0,Yes,Plant,protein split available for Level A
P056,Avocat pret a murir,Own brand,Fresh,Fresh fruit/vegetable,avocat pret a murir,200,3464,3464,692.8,,2.0,2.0,0.0,Yes,Plant,protein split available for Level A
P057,Mangue fraiche,Branded,Fresh,Fresh fruit,mangue fraiche,400,6865,6865,2746.0,,0.8,0.8,0.0,Yes,Plant,protein split available for Level A
P058,Fruits rouges surgeles,Own brand,Frozen,Frozen fruit,fruits rouges surgeles,450,6620,6620,2979.0,,1.2,1.2,0.0,Yes,Plant,protein split available for Level A
P059,Abricots secs,Branded,Grocery/Ambient,Dried fruit,abricots secs,250,4232,4232,1058.0,,3.4,3.4,0.0,Yes,Plant,protein split available for Level A
P060,Tomates concassees,Own brand,Grocery/Ambient,Canned vegetables,tomates concassees,400,5174,5174,2069.6,,1.4,1.4,0.0,Yes,Plant,protein split available for Level A
P061,Huile olive vierge extra,Branded,Grocery/Ambient,Plant oils,huile olive vierge extra,750,1969,1969,1476.75,,0.0,0.0,0.0,Yes,Plant,protein split available for Level A
P062,Huile colza,Own brand,Grocery/Ambient,Plant oils,huile colza,1000,3603,3603,3603.0,,0.0,0.0,0.0,Yes,Plant,protein split available for Level A
P063,Margarine vegetale,Branded,Fresh,Plant fats,huile vegetale,500,4810,4810,2405.0,,0.5,0.5,0.0,Yes,Plant,plant-based / vegan possible; protein split available for Level A
P064,Saindoux,Branded,Fresh,Animal fats,matiere grasse laitiere,250,3477,3477,869.25,,0.0,0.0,0.0,Yes,Animal,protein split available for Level A
P065,Chips de lentilles,Branded,Grocery/Ambient,Savoury snacks,chips de lentilles,100,8373,8373,837.3,,13.0,13.0,0.0,Yes,Plant,protein split available for Level A
P066,Chocolat noir noisettes,Own brand,Grocery/Ambient,Confectionery,chocolat noir noisettes,180,7016,7016,1262.88,,7.5,7.5,0.0,Yes,Plant,protein split available for Level A
P067,Biscuits sables beurre,Branded,Grocery/Ambient,Baked goods,biscuits sables beurre,200,5222,5222,1044.4,,6.5,4.0,2.5,Yes,Plant,protein split available for Level A
P068,Glace vanille creme,Own brand,Frozen,Desserts,glace vanille creme,500,4398,4398,2199.0,,3.5,0.5,3.0,Yes,Animal,protein split available for Level A
P069,Donuts chocolat,Branded,Grocery/Ambient,Baked goods,donuts chocolat,240,6113,6113,1467.12,,6.0,3.5,2.5,Yes,Plant,protein split available for Level A
P070,Barres granola miel amandes,Branded,Grocery/Ambient,Snack bars,barres granola miel amandes,180,1716,1716,308.88,,8.0,7.5,0.5,Yes,Plant,protein split available for Level A
P071,Lasagne bolognaise,Own brand,Fresh,Prepared composite meal/snack - Meat-based,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Meat-based.,400,4552,4552,1820.8,,9.0,4.0,5.0,Yes,Animal,protein split available for Level A
P072,Lasagne vegan aux legumes,Own brand,Fresh,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,400,1325,1325,530.0,,6.0,,,No,Plant,only total protein available; Level B may be needed
P073,Curry poulet riz,Branded,Fresh,Prepared composite meal/snack - Meat-based,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Meat-based.,450,5968,5968,2685.6,,8.0,3.0,5.0,Yes,Animal,protein split available for Level A
P074,Curry pois chiches epinards,Own brand,Fresh,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,450,7372,7372,3317.4,,7.0,7.0,0.0,Yes,Plant,protein split available for Level A
P075,Salade lentilles chevre,Branded,Fresh,Prepared composite meal/snack - Vegetarian,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Vegetarian.,300,5186,5186,1555.8,,9.0,,,No,Plant or animal depending recipe,only total protein available; Level B may be needed
P076,Salade quinoa edamame,Own brand,Fresh,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,300,1884,1884,565.2,,8.0,8.0,0.0,Yes,Plant,protein split available for Level A
P077,Pizza jambon champignon,Own brand,Fresh,Prepared composite meal/snack - Meat-based,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Meat-based.,420,4256,4256,1787.52,,10.0,5.0,5.0,Yes,Animal,protein split available for Level A
P078,Pizza legumes vegan,Branded,Frozen,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,400,5955,5955,2382.0,,7.0,,,No,Plant,only total protein available; Level B may be needed
P079,Sandwich thon crudites,Branded,Fresh,Prepared composite meal/snack - Seafood-based,cereales raffinees; legumes; proteine animale; huile vegetale. Classe recette attendue: Seafood-based.,220,4283,4283,942.26,,11.0,4.0,7.0,Yes,Animal,protein split available for Level A
P080,Wrap falafel houmous,Own brand,Fresh,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,240,8979,8979,2154.96,,8.0,8.0,0.0,Yes,Plant,protein split available for Level A
P081,Quiche lorraine,Branded,Fresh,Prepared composite meal/snack - Meat-based,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Meat-based.,350,7282,7282,2548.7,,10.0,,,No,Animal,only total protein available; Level B may be needed
P082,Tarte epinards feta,Own brand,Fresh,Prepared composite meal/snack - Vegetarian,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Vegetarian.,350,8317,8317,2910.95,,8.5,4.0,4.5,Yes,Plant or animal depending recipe,protein split available for Level A
P083,Soupe tomate creme,Branded,Fresh,Prepared composite meal/snack - Vegetarian,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Vegetarian.,600,3140,3140,1884.0,,2.0,1.2,0.8,Yes,Plant or animal depending recipe,protein split available for Level A
P084,Soupe lentilles coco,Own brand,Fresh,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,600,5139,5139,3083.4,,4.0,,,No,Plant,only total protein available; Level B may be needed
P085,Chili con carne,Branded,Grocery/Ambient,Prepared composite meal/snack - Meat-based,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Meat-based.,400,3087,3087,1234.8,,10.0,4.0,6.0,Yes,Animal,protein split available for Level A
P086,Chili sin carne,Own brand,Grocery/Ambient,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,400,4840,4840,1936.0,,8.0,8.0,0.0,Yes,Plant,protein split available for Level A
P087,Paella fruits de mer,Branded,Frozen,Prepared composite meal/snack - Seafood-based,cereales raffinees; legumes; proteine animale; huile vegetale. Classe recette attendue: Seafood-based.,500,5104,5104,2552.0,,7.5,,,No,Animal,only total protein available; Level B may be needed
P088,Risotto champignons parmesan,Own brand,Fresh,Prepared composite meal/snack - Vegetarian,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Vegetarian.,400,7819,7819,3127.6,,7.0,4.5,2.5,Yes,Plant or animal depending recipe,protein split available for Level A
P089,Burger boeuf pret a cuire,Branded,Fresh,Prepared composite meal/snack - Meat-based,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Meat-based.,260,7343,7343,1909.18,,15.0,4.0,11.0,Yes,Animal,protein split available for Level A
P090,Burger haricots noirs,Own brand,Fresh,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,260,6730,6730,1749.8,,11.0,,,No,Plant,only total protein available; Level B may be needed
P091,Sushis saumon avocat,Branded,Fresh,Prepared composite meal/snack - Seafood-based,cereales raffinees; legumes; proteine animale; huile vegetale. Classe recette attendue: Seafood-based.,300,4393,4393,1317.9,,8.0,3.0,5.0,Yes,Animal,protein split available for Level A
P092,Bowl tofu riz legumes,Own brand,Fresh,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,420,3066,3066,1287.72,,8.0,8.0,0.0,Yes,Plant,protein split available for Level A
P093,Gratin dauphinois,Own brand,Fresh,Prepared composite meal/snack - Vegetarian,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Vegetarian.,450,9148,9148,4116.6,,4.0,,,No,Animal,only total protein available; Level B may be needed
P094,Parmentier canard patate douce,Branded,Fresh,Prepared composite meal/snack - Meat-based,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Meat-based.,450,8885,8885,3998.25,,9.0,2.0,7.0,Yes,Animal,protein split available for Level A
P095,Nouilles oeuf crevettes,Branded,Fresh,Prepared composite meal/snack - Seafood-based,cereales raffinees; legumes; proteine animale; huile vegetale. Classe recette attendue: Seafood-based.,380,2289,2289,869.82,,9.0,4.0,5.0,Yes,Animal,protein split available for Level A
P096,Gnocchi sauce pesto,Own brand,Fresh,Prepared composite meal/snack - Vegan,cereales raffinees; legumes; proteine vegetale; huile vegetale. Classe recette attendue: Vegan.,400,1571,1571,628.4,,5.0,,,No,Plant,only total protein available; Level B may be needed
P097,Ravioli ricotta epinards,Branded,Fresh,Prepared composite meal/snack - Vegetarian,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Vegetarian.,300,2596,2596,778.8,,10.0,4.0,6.0,Yes,Plant or animal depending recipe,protein split available for Level A
P098,Cake sale olives feta,Own brand,Grocery/Ambient,Prepared composite meal/snack - Vegetarian,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Vegetarian.,350,3304,3304,1156.4,,8.0,4.5,3.5,Yes,Plant or animal depending recipe,protein split available for Level A
P099,Porridge avoine lait,Own brand,Fresh,Prepared composite meal/snack - Vegetarian,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Vegetarian.,250,3421,3421,855.25,,6.0,,,No,Plant or animal depending recipe,only total protein available; Level B may be needed
P100,Smoothie yaourt fruits rouges,Branded,Fresh,Prepared composite meal/snack - Vegetarian,cereales raffinees; legumes; proteine animale; produit laitier; huile vegetale. Classe recette attendue: Vegetarian.,330,7716,7716,2546.28,,4.0,1.0,3.0,Yes,Plant or animal depending recipe,protein split available for Level A
